"filename", "language", "Python", "XML", "Markdown", "comment", "blank", "total"
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 6
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/.idea/llm_dftflow_advanced.iml", "XML", 0, 8, 0, 0, 0, 8
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/.idea/misc.xml", "XML", 0, 7, 0, 0, 0, 7
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/.idea/modules.xml", "XML", 0, 8, 0, 0, 0, 8
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/.idea/vcs.xml", "XML", 0, 6, 0, 0, 0, 6
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/README.md", "Markdown", 0, 0, 1, 0, 0, 1
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/dftllmrd.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/main.py", "Python", 2, 0, 0, 10, 0, 12
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/jobclass.py", "Python", 17, 0, 0, 0, 6, 23
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/jobpool.py", "Python", 12, 0, 0, 0, 5, 17
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/llm_communicator.py", "Python", 29, 0, 0, 5, 6, 40
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/llm_message_handler.py", "Python", 9, 0, 0, 2, 6, 17
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/llm_module.py", "Python", 64, 0, 0, 0, 41, 105
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/llm_request.py", "Python", 16, 0, 0, 0, 11, 27
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/llm_request_queue.py", "Python", 92, 0, 0, 7, 29, 128
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/llm_response.py", "Python", 8, 0, 0, 0, 2, 10
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/log_monitor.py", "Python", 66, 0, 0, 12, 11, 89
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/manager.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/master_communicator.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/node_communicator.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/src/payload.py", "Python", 42, 0, 0, 2, 16, 60
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/test/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/warblerforest/Projects/LabStuff/llm_dft/llm_dftflow_advanced/test/llm_module_test.py", "Python", 15, 0, 0, 1, 5, 21
"Total", "-", 372, 35, 1, 39, 144, 591
